uniqueId,clean_text,rep_score
chinatsu_my_waifu367,mantap,0.405
08yayayayaya,dpr nya pada kemana ya?,0.184
timbang24,itu bukan demo tapi merusak segalanya itu nanti yang rugi kita semua ..,0.182
musa.timika,itu di sana kalau kerja dian seperti begitu kalau di papua untuk menyangkut mahasiswa demo mungkin masyarakat yang ada di tanah papua,0.116
munadi8756,wah. rakyat cirebon. hebat hebat,0.291
dasuki9965,maaantaaap cirebon. pemerintah masih buta dsn tuuli.,0.183
yudhiaz182,mantap ayo daerah lain susul cirebon merdeka,0.199
ciciblazer,jakarta sudah belum,0.232
misranmisran015,bubarkan dprd pokoe,0.252
sarly.sarly0,dpr voc nya pada kabur,0.156
user3433963503409,hidup mahasiswa,0.318
tofanio1993,penghuninya pada kemana tuh???,0.203
maria.ratnaningsi4,jangan ada pengrusakan,0.129
santy.norys09,nepal,0.401
jembot.irenk,kantor di kuasi buat apa...tangkap anggota dprdnya itu baru benar...,0.217
ben2024barya,congratulations,0.000
sunitalamasunita6,good,0.402
ibuemass,mantep2 rakyat,0.410
azzahranazwa91,lihat saja kalo enggak ada perubahan ha,0.129
putrakel26,mntap,0.193
rorosastroasmoro,mnang apanya yang mnang bro,0.183
userk29ows9rcj,setuju dukung rakyat,0.264
mohammadsobuj335,support from bangladesh,0.332
user8022316854956,menyala,0.401
user7185104290100,kalo dpr-nya enggak ada ya percuma,0.236
hthohari777gmail.com,selanjutnya apa yang bisa mereka untuk bangsa ini???,0.157
darmawi538,mantap,0.405
user495226207,nepal +bangladesh same.,0.268
nn_rat8,di nepal lebih hebat pintar dan cerdas rakyat nya.,0.140
fianiirorrrrr,roblox kalian eror enggak?,0.142
userii3lcis8yq,"masyarakat =hama ya allah, lindungilah dpr kami , mereka ini pahlawan bangsa, pejuang keadilan yang siang malam menangis demi rakyatnya . mereka rela mengorbankan tidur, makan, bahkan nyawanya hanya untuk kita semua . jika bukan karena mereka, kita tidak akan bisa bernafas hari ini . tolong, jaga mereka seperti engkau menjaga langit dan bumi",0.409
fitriayunurdin_,itu kantor rakyat juga kan..enggak apa-apa lah... suka suka mereka...,0.157
abah.joyo,kalau sudah semua bergerak ala hu alam,0.156
ambran025,bagus sakali teman,0.308
gandhi5511,kok enggak sama nyala ya,0.188
gopalbro63,good jop,0.402
kapalo.suku08,merdeka rakyat ku..allah bersama kalian..amin..,0.154
lalu.gina1,mantap,0.405
jujunheriawam,kapan indonesia damay,0.205
arjun.sadewa29,keren banget,0.403
nienaden,semoga kalian di lindungi allah swt,0.182
maharaniasyfaputr,wow mantap,0.402
gitopurnomo6,jos,0.400
sajanchaudhary9502,good,0.402
mak.muri3,mataf tapi jar,0.208
almasrizal,hukum rakyat sudah berlaku,0.151
madrasahal1slam,naaah,0.000
umissoto,yang penting turunkan puan,0.289
sumitragurung1chand,very good,0.401
dipsandad,aago laga aago keta ho,0.360
albelex2,mantap,0.405
haji.gele,okc,0.000
subodhrajopadhaya,good,0.402
user57047474507923,mantap,0.405
ong.ta8,cowok indonesia mà,0.228
leberohmat,cirbon hebat hidup cirbon,0.357
www.tiktok.comlala71,wow,0.400
gepeng6554,rakyat dari sabang sampai maroke waktunya bangkit jangan mau di tindas terus,0.228
raikaru278,good,0.402
jj033391,dpr pusat,0.164
titi25246,"tuhan, lindungi saudaraku yang sedang brjuang, menghancurkan kezoliman.",0.130
mamalogix.dw,semangat saudara,0.255
niazi3578,i from pakistan nepali people good work,0.151
sangdewa999e,semangat rakyat,0.405
ilhamali1000,fungsi dpr.....,0.249
niki.pakhrin,good,0.402
irkhalim77,harus bubar dpr,0.294
cayangkuh02,maju terus jangan mundur,0.235
siwah963,dpr malah senang kalo dirusak nanti dibikin 1000 kali lipat anggarannya buat memperbaiki nya lagi tetap rakyat yang jadi tumbal nya,0.102
refannn09,buat contoh bagi daerah yang lain,0.275
ppinkkyyaa,"logika nya mungkin begini, buat yang bilang pas masa masa jokowi aman aman saja, terus masa pak prabowo malah begini, kayaknya tuh memang karena masa masa jokowi semuanya di lindungin, di tutup menutupi, sekarang masa prabowo banyak yang terbongkar, ini bukan kehancuran, tapi awal dari revolusi yang sebenarnya, ini jadi kesempatan besar buat rakyat untuk bersatu ubah sistem yang bermasalah di negara ini, bukan pak prabowo yang salah, tapi pejabat nya yang enggak benar, sekarang sudah banyak yang terbongkar, semoga saja kedepannya lebih baik, dpr bubar rakyat sejahtera, jangan teradu domba teman temanguys ini lagi banyak dibahas di kali dan rata-rata bilang kebakaran halte ini bukan ulah demonstran, tapi ulah oknum yang memang sengaja mau ada massa yang anarkis. karena apa? api bisa segede itu enggak mungkin butuh waktu yang sebentar buat merambat ke sebagian halte. terus kenapa harus malam hari? dan kenapa cctv banyak yang enggak bisa diakses? massa boro-boro memikirkan bawa minyak atau korek ke aksi demo,nyawa sendiri saja jadi taruhannya...",0.352
sriyanti7758,kalau rusak semua kita yang rugi pada akhirnya pajak naik,0.093
hadisusandi622,mantap,0.405
smsboystiktok,same things happen like bangladesh ini nepal,0.270
rajivyadav5555,good,0.402
budi.budi9062,trias politik dengan merangkul semua elit sudah gagal.simbol rakyat pati menyatu.,0.110
ambar.dewanto,mantap,0.405
ardi.wijaya837,lanjut,0.400
nurul.islam4993,take care brother'si sister'si love from bangladesh,0.188
kakeknya.paracucu,gaedung dan isi nya milak rakyat jangan di rusak.,0.145
sundarikriswanto,terima kasih sudah mewakili rakyat,0.343
edi.setadi.setiad,rakyat tidak bth lagi dpr....,0.139
boomwithme_,"ya allah, lindungilah dpr kami , pahlawan bangsa yang gigih berjuang untuk keadilan dan kesejahteraan rakyat , siang malam mereka bekerja keras , mengorbankan waktu dan tenaga demi masa depan bangsa , tolong jaga mereka dengan kasih sayang-mu , berikan mereka kekuatan dan hikmah dalam setiap keputusan , dan jadikan mereka contoh teladan bagi kami semua . berikan mereka kesabaran dan ketabahan dalam menghadapi tantangan ‍, dan jadikan mereka sumber inspirasi bagi generasi mendatang . amin . semoga allah selalu bersama mereka dan memberikan mereka kekuatan untuk terus berjuang demi bangsa dan negara . jadikan mereka pemimpin yang bijak dan adil, serta berikan mereka kemampuan untuk membuat keputusan yang tepat untuk kepentingan rakyat . amin . berikan mereka keberanian untuk menghadapi kesulitan, dan jadikan mereka pelopor perubahan bagi masyarakat . semoga mereka selalu berada di jalan yang benar, dan berikan mereka kemampuan untuk memimpin dengan hati yang bersih . jadikan mereka contoh bagi kami semua, dan berikan mereka kekuatan untuk terus berjuang demi kebaikan bersama . amin . semoga allah memberkahi mereka dengan kebijaksanaan dan kesabaran, serta memberikan mereka kemampuan untuk membuat keputusan yang tepat dan bijak . jadikan mereka pemimpin yang dicintai rakyat, dan berikan mereka kekuatan untuk terus berjuang demi keadilan dan kesejahteraan bangsa . amin .",0.131
sanu_tamang_198,good daju vai harus dami xa aajhai gara good,0.351
mina.pariyar0057,you can di itu,0.140
ahcmadsuratmin,efek pejabat enggak mau dengar dan bijak....banyak pertimbangan .lanjut kan,0.113
mandalsonu321,jay nepal,0.401
bung.tatoo,contoh anak pejuang kemerdekaan 1945,0.148
user7311352426067,jakarta kapan yj,0.273
dayaram.mandal.10,good,0.402
sanulama964,good 20 84,0.258
zadan980,coba mikir guna apa dpr cuma habisin uang negara.,0.125
user8122851945098,bubar dpr,0.403
ndankbyson6,bubarkan dpr,0.405
anitatamang3078,wwwwow,0.000
xiu.9944,"loh orangya enggak ada ,ya oercuma teman",0.183
mas.cakra90,ora mutu yen anarkis niku mze,0.402
kumarmohan296,very good,0.401
eko.bintoro29,mntab,0.000
torikun.aja5,bagus,0.401
hamba.allah.955,maju demi ke adilan,0.210
king_abdullah_8888,i sih from bangladesh,0.381
user9429581614184,what a hero peole are nepals!,0.187
rajindra359,good,0.402
bikboz2727,mantap itu yang dibangun hasil rakyat,0.147
yb7868,kab semarang kapan kok diam saja sudah di kasih uang ini,0.153
dinasukma22,daerah yang lain mana,0.276
sutris.sutris613,mantap,0.405
user42482982,wow powerful nepali young youth,0.204
denbagus_117,semangat rakyat citebon,0.405
andi.aco007,"intinya kalo ayah dan mama jujur dan baik,,kami anaknya tunduk dan.beribawa,itu saja kuncinya ya,,,",0.186
user256795826381,"mantap pol semuga selalu sht,,",0.159
dhaniklalchaudha8,good,0.402
user9072504323581,kantipur ra annapurna kok daliali pani banda garnu parcha,0.172
ahgun06,bravvo rakyat sobatku,0.410
samik.bahrudi,smngt bolo,0.283
sitasita.id,wow good,0.306
sardy762,"hidup ràkyat, yes",0.238
petani.alpukat6,sip,0.400
serazkhan8893,jay nepal,0.401
user696891688,itu pasilitas negara jangan dirusak..oknum dpr-nya yang bersalah,0.115
arseneo45,ini baru nama nya berdemo,0.313
ajus454,apa dapat kamu mas kayak gtc apa enggak dapat..,0.145
thalia.rose79,mantaaap,0.400
asepkapalhidkomgmail.com,aduch gusti ulah diraruksak kapan etateh duit rakyat keneh pasilitas teh,0.184
minar.sianturi8,jangan di rusak abang yang bangun itu pakai uang rakyat,0.164
aisyahduniaplafon,bantu doa,0.166
najimqa974,a bangaladeshi we are stand our nepali brother side and respect everyone who is the fight there for the freedom ‍,0.189
ramsharan363,good bro good,0.364
yagyabk.officaial,this is great job,0.294
ghosting55555,menyala wong cerbon,0.263
user7279781834985,cuma polisi ini yang benar dan baik,0.221
coula_ms,"bawa itu patung garuda, enggak cocok garuda ada di situ",0.151
m4l4u19,dpr bubar=indonesia maju,0.224
karrr0304,",",0.000
sasisangsekerta00,"gue capek bilang ini, demo kita sekarang sudah melenceng, enggak lagi kondusif, banyak yang terprovokatif, kasihan yag tulus turun demo tapi malah disalahin akibat pengrusakan fasilitas dl. kalian tau, sampai ada korban jiwa yang bahkan enggak salah di maksar itu ada 3 orang meninggal karena gedungnya dibakar. tolong lihat pe jelasan di akun kal salsa erwina, kakaknya nyuruh kita stop dulu, pulang dulu, hentikan dulu demo. kita fokus ke tuntutan 7 hari kedepan. tolong bantu up gais, dari tadi gue komen begini malah disembunyiin dan enggak ada notif like 1 pun padahal sudah banyak akun gue sambangin. gue bukan buzzer, gue pun rakyat yang butuh pertanggungjawaban dpr.",0.415
iniibielagi,stay safe mas,0.258
mamiduosister,nah kan dari dulu suruh sahkan ru perampasan aset enggak nurut ya begini jadinya,0.245
agus.kacung3,demo bikin kesempatan preman yang suka menjarah.,0.119
