clean_text,classification
#saveindonesia,NON_BUZZER
bandung lautan api is come back ?,NON_BUZZER
"mohon izin, aku lagi buat puisi tentang apa yang terjadi di agustus 2025 ini mohon doa nya semoga berjalan lancar, dan dapat di kenang terimakasih",NON_BUZZER
maafkan kami pak soekarno,NON_BUZZER
pengin banget pindah negara anjing,NON_BUZZER
bahkan dalam apinya pun bandung selalu bercerita.,NON_BUZZER
"mereka nya juga menantang guys, dari awal massa datang, mereka mereka diam diatas gedung, ada yang nembakin teargas, ada yang makyu makyuin, ada yang foto memfoto, bahkan ada yang makan sambil nontonin kita :(",NON_BUZZER
"@ :kalian sadar enggak, demo kita sekarang sudah melenceng, enggak lagi kondusif, banyak yang terprovokasi kasihan yang tulus turun demo tapi malah disalahin akibat pengrusakan fasilitas dl. kalian tau, sampai ada korban jiwa yang bahkan enggak salah di maksar itu ada 3 orang meninggal karena gedungnya dibakar. tolong lihat penjelasan di akun kak salsa erwina, kakaknya nyuruh kita stop dulu, pulang dulu, hentikan dulu demo. kita fokus ke tuntutan 7 hari kedepan. tolong bantu up gais, dari tadi gue komen begini malah disembunyiin dan enggak ada notif like 1 pun padahal sudah banyak akun gue sambangin. gue bukan buzzer, gue pun rakyat yang butuh pertanggungjawaban dpr.",NON_BUZZER
sudah kayak begini dpr belum juga bersuara . mana ketua dpr nya,NON_BUZZER
"ini bagaimana ceritanya woy,kok bisa kebakar??",NON_BUZZER
"kalau mau demo fokus ke tujuan awal saja, jangan bakar+ambil fasilitas umum. harus sedikit bernalar lah ya kalian kasihan kakak2 mahasiswa yang menyuarakan suara kita",NON_BUZZER
estetik anjr asap nya maaf oot,NON_BUZZER
dulu lautan api cuman bandung sekarang se-indonesia jadi lautan api,NON_BUZZER
lautan awan tuh,NON_BUZZER
"kayaknya ramalan the simpson bakalan terjadi deh,ini bukan masalah fomo atau apa,soalnya demo kali ini ricuh banget,kan tujuan demo itu untuk dpr bukan malah ricuh atau bakar” fasilitas umum,kalo dengan ngeroyok polisi gue masih bisa paham,soalnya kalo polisi masih mirip” lah dengan dpr sama” 4jg walapun beberapa oknum(99% oknum),tapi saran buat kita semua harus fokus pada tujuan awal kita yaitu “bubarkan dpr”,plis buat teman” semua jangan rusakkan fasilitas umum,karena banyak juga masyarakat biasa membutuh kan fasilitas umum itu.dan yang gue bilang di awal tadi tentang ramalan the simpson itu maksdnya karena berita ini sudah tersebar luas ke beberapa negara,itu bisa saja beberapa negara memanfaatkan kesempatan untuk mendapatkan negara kita tercinta.jadi buat teman” tetap stay safe ya",NON_BUZZER
"stay safe al, lekas sembuh indonesia.",NON_BUZZER
ini demo sampai kapan?? gue tanggal 3 ke kampus jauh lagi dari tangerang ke depok. bingung naik apa kalo fasum di rusak begitu (plis jawab),NON_BUZZER
pada akhirnya... ini hanya tinggal kenangan nya kita dan perjuangan pak seokarno,NON_BUZZER
"astaghfirullah, please fokus ke misi pertama. kenapa menghancurkan fasilitas umum",NON_BUZZER
semoga lekas membaik kota yang kena demo,NON_BUZZER
"inilah jadinya kalo terlalu banyak kadrun, amburadul jadinya negara ini",NON_BUZZER
awan buatan kalo ada kata yang salah mohon maafkan,NON_BUZZER
tiap dengar lagu ini aku menangis,NON_BUZZER
kelasemen sementara 1 . makasar 90% 2. bandung 80% 3. surabaya 60% 4. jakarta 40% 5. jogja 20% 6. solo 10%,NON_BUZZER
"""sekarang telah menjadi lautan api""",NON_BUZZER
merdeka jangan takut saldo 3jt,NON_BUZZER
mantap lanjutkan,BUZZER
"sedih banget lihat indonesia kayak begini pemerintah please, kalian juga rakyat kan awalnya? memangnya enggak kasihan melihat semua ini?",NON_BUZZER
fre palestina fre indonesia,NON_BUZZER
ingat tujuan utama guys..jangan rusak fasilitas umum karena nanti kita juga yang susah..dpr masih tegak tapi fasilitas hancur,NON_BUZZER
benar' lagi kacau,NON_BUZZER
enggak terbayang ya pas selesai demo terus ada renof masal dana2 perbaikan pada muncul apa enggak banyak lowongan kerja nanti buat perbaikan fasilitas yang di rusak pendemo,NON_BUZZER
bandung lautan api nih?,NON_BUZZER
izin abil video nya kak,NON_BUZZER
deh lah pindah gue ke jepang habis ini pasti polusi,NON_BUZZER
lekas membaik indonesia ku demi masa depan bangsa dan generasi penerus selanjutnya,NON_BUZZER
bandung acu,NON_BUZZER
maaf salah fokus asepnya bagus banget,NON_BUZZER
streak,NON_BUZZER
"kalian sadar enggak, demo kita sekarang sudah melenceng, enggak lagi kondusif, banyak yang terprovokasi kasihan yang tulus turun demo tapi malah disalahin akibat pengrusakan fasilitas dl. kalian tau, sampai ada korban jiwa yang bahkan enggak salah di maksar itu ada 3 orang meninggal karena gedungnya dibakar. tolong lihat penjelasan di akun kak salsa erwina, kakaknya nyuruh kita stop dulu, pulang dulu, hentikan dulu demo. kita fokus ke tuntutan 7 hari kedepan. tolong bantu up gais, dari tadi gue komen begini malah disembunyiin dan enggak ada notif like 1 pun padahal sudah banyak akun gue sambangin. gue bukan buzzer, gue pun rakyat yang butuh pertanggungjawaban dpr.",BUZZER
gbla gelora bandung lautan api? terjadi,NON_BUZZER
ini baru bandung lautan api,NON_BUZZER
"kalo pasilitas umum di rusak,nanti yang korupsi makin menjadi,bagaimana dong",NON_BUZZER
ha bandung seindah itu?? penuh dengan api??,NON_BUZZER
"asepnya keren, estetik sekali",NON_BUZZER
"kenapa indonesia seperti ini, penindasan di mana mana, kerusuhan di mana mana,ke hancuran di mana mana,dan banyak korban jiwa yang masuk rumah sakit dan ojol yang di lindas,di mana letak pancasila ha kenapa jadi begini,dpr banyak yang korupsi dan senang senang sedangkan rakyat nya sengsara demi mencari nafka untuk keluarga,gua pikir jabatan terbesar itu presiden ternyata dpr, seharusnya jabatan tertinggi itu presiden bukan dpr, kenapa sih harus kayak begitu peraturan nya,sila ke 5: keadilan bagi seluruh rakyat indonesia, tapi di mana letak ke adilan itu apakah hanya pejabat yang bisa engkau adili, indonesia harus nya menjadi negara maju bukan menjadi negara yang penuh dengan kehancuran di mana mana,sila ke 3, persatuan republik indonesia: tapi di mana letak persatuan itu,yang ada hanyala perpecahan yang membuat negara hancur, dan sila ke 2, kemanusiaan yang adil dan beradab:; tapi di mana letak adil nya dan di mana letak adab nya ha,sampai sampai kalian melupakan rakyat yang ke susahan mencari rezeki untuk keluarga nya tapi pejabat malah memperkaya dirinya sendiri",NON_BUZZER
coba balik layar nya,NON_BUZZER
"ini yang salah tuh korupsi bknnya lambang indonesia kalian fikir deh masa yang salah korupsi yang di jadikan sasaran lambang kita ini semua bukan salah bendera indonesia, bhineka tunggal ika,kalian fikir bagai manah jika mereka tau kalo pengorbanan nya di beginikan",NON_BUZZER
kenapa indonesia sekarang hancur sih,NON_BUZZER
ada jokowi = negara aman ada prabowo = negara tidak aman,NON_BUZZER
"kalian enggak kasihan apa sama pahlawan kita, dia memperjuaingi indonesia sampai mati, dan kalian hanya sia"" kan jasa para pahlawan kita, kalian hanya bisa ngerusakin indonesia, koruptor di mana- mana apa gunanya sila ke lima pancasila",NON_BUZZER
"soft spoken: nya mungkin begini, buat yang bilang pas masa masa jokowi aman aman saja, terus masa pak prabowo malah begini, kayaknya tuh memang karena masa masa jokowi semuanya di lindungin, di tutup menutupi, sekarang masa prabowo banyak yang terbongkar, ini bukan kehancuran, tapi awal dari revolusi yang sebenarnya, ini jadi kesempatan besar buat rakyat untuk bersatu ubah sistem yang bermasalah di negara ini, bukan pak prabowo yang salah, tapi pejabat nya yang enggak benar, sekarang sudah banyak yang terbongkar, semoga saja kedepannya lebih baik, dpr bubar rakyat sejahtera, jangan teradu domba teman teman",NON_BUZZER
dunia se heboh ini gue cuma rebahan..,NON_BUZZER
itu yang diatas bagaimana?,NON_BUZZER
"ingin cuma menginfokan untuk para pendemo guys plis pulang sekarang!! dapat info dari sodara dekat (polisi) bakal ada penembakan massal (sudah ditugaskan juga malam ini). makanya live tiktok dimatikan. saya enggak tau bakal viral atau tidak ketikan saya ini, tolong up ya. kabarin sodara kalian untuk hati-hati, apalagi listrik bakal dimatiin juga untuk sekitar jaktim,jaksel,jakut. 30/07/25",BUZZER
seharusnya demo nya di gedung dpr saja jangan sampai ke fasilitas umum yang banyak di pakai masyarakat sekitar,NON_BUZZER
"merinding, sedih lihat indonesia sekarang kacau banget...",NON_BUZZER
"kayaknya enggak mungkin deh rakyat punya duit beli minyak/bensin untuk bakar sebegitu besarnya api, boro-boro beli minyak untuk beli minyak motornya sendiri saja memikir-mikir",NON_BUZZER
asepnya se estetik itu ya,NON_BUZZER
"semenjak demo, siapa yang disini merasa data internet ngedown padhal sinyal ful",NON_BUZZER
"demo sudah keluar jalurnya ini, bukan aspirasi rakyat lagi? wajar kalo kapolri ambil tindakan tegas",NON_BUZZER
semua gara gara anggota dpr bicara asal asalan dan hina rakyat,NON_BUZZER
sekali demo tuntaskan semua..akhir akhir ini banyak uang rakyat yang hilang di bank,NON_BUZZER
ini brutal bukan demo,NON_BUZZER
"buat kalian yang demo, tetap hati"" hati hati ya",NON_BUZZER
gue mau pindahan tempat tinggal malah demo dimana mana anjir lah,NON_BUZZER
pengepungan bukit duri,NON_BUZZER
gara-gara saroni,NON_BUZZER
terima kasih banyak para pedemo,NON_BUZZER
aku doakan yang demo selamat dunia dan akhirat ...amin,NON_BUZZER
ya allah lindungi mereka yang sedang berjuang untuk rakyat,NON_BUZZER
mana presiden prabowo yang suaranya koar-koar di kampanye pilpres,NON_BUZZER
yang diadu domba masyarakat dan aparat sedangkan pejabat? bagaimana ini bisa terjadi carilah solusi terbaik wahai para petinggi negara,NON_BUZZER
": buat temen² yang baru mau turun demo tetap safety ya guys utamakan keselamatan!!., di stasiun sudirman+gbk banyak banget intel berkedok pelajar., gojek dl., karena banyak yang ketangkep+di pukuli. info nye buat smk/sama/sampai yang mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau pelajar. kalian pakai pakaian yang rada tebal dikit ataupun agar enggak kelihatan pelajar. sudah banyak banget pelajar yang ketangkep di polres gara"" sih curigain + memakai seragam saat demo. angin nye sudah chaos banget sekarang., sekedar saran - tutup identitas termasuk wajah sama sidik jari - kalau bawa kendaraan pribadi usahain jauh dari lingkungan demo semangat bro!!",NON_BUZZER
terima kasih sudah turun demo hari kalian tetap keren dimata gue... semangat buat kakak mahasiwa buruh anak stm dan sama,NON_BUZZER
zaman jokowi ada kes seperti ini?kenpa zmn probowo ?salam dari malaysia.,NON_BUZZER
terimakasih rakyat dan mahasiswa yang sudah turun demo yang sudah mewakili respect,NON_BUZZER
"hati' bro gue mau mengingatkan kalo mau demo dpr jangan pakai seragam sekolah,buat para' pelajar soalnya intel dimana' buat ngintai para' pelajar, soalnya di sekolahan gue sudah banyak yang kena tangkap,dan sekolah di daerah serang-banten juga banyak yang ketangkep,hati' bro gue mau mengingatkan kalo mau demo dpr jangan pakai seragam sekolah,buat para' pelajar soalnya intel dimana' buat ngintai para' pelajar, soalnya di sekolahan gue sudah banyak yang kena tangkap,dan sekolah di daerah serang-banten juga banyak yang ketangkep para' pelajar tolong jaga',kita sama' pelajar untuk berjaga jaga",NON_BUZZER
"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!! jangan rusak fasilitas fasilitas rakyat, toko, mal, stasiun jangan dirusuh, ingat, kita kerja cari uang disana.",BUZZER
ini baru demo,NON_BUZZER
enggak ada istilah frovokasi itu murni dari hati nurani,NON_BUZZER
"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi",BUZZER
yang turun demo kalian cinta indonesia,NON_BUZZER
"hati buat yang demo, trimakasih",NON_BUZZER
alihkan demo di tempat strategis seperti bandara pelabuhan dan lain lain agar ekonomi lumpuh dan suara kita bisa di dengar ‼‼‼,NON_BUZZER
"kak. boleh enggak nitip sesuatu, nanti pas demo tolong infokan kalo kena gais air mata cuci muka pakai air yang dicampur garem non yodium atau susu atau air mengalir. jangan pakai odol nanti tambah iritasi mata mereka. sama kalo keisep pakai kain basah tutup mulutnya. soalnya lihat teman teman yang demo pada sesek. yang perempuan mau bantu share info ini biar pada save. semangat yang demo.",NON_BUZZER
semoga kalian yang ikut demo hari ini selalu dalam lindungan allah,NON_BUZZER
nih bukan demo tawuran,NON_BUZZER
katanya gibran bisa menenangkan demo,NON_BUZZER
yang di demo dpr yang di adu domba malah rakyat sama polisi. dpr nya sibuk enggak ada yang berani nyamperin,NON_BUZZER
"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!",BUZZER
andai saja aparat negara sadar siapa yang sudah membayar dan menggaji mereka. negara ini memang sudah fase kritis.,NON_BUZZER
buat demo dijalan jangan sampai kita di adu domba sama polisi karena tujuan kita hanya ke dpr,NON_BUZZER
besok pakai rpg ya polisi enggak mempan di molotov sama petasan,NON_BUZZER
pas demo itu kereta ada yang lewat enggak bang?,NON_BUZZER
lah doa ku terkapul kalo demo pakai petasan?,NON_BUZZER
"judulnya masarakat protes sama dpr, tapi imbasnya seragam coklat para pejabat dpr ful senyum sambil di berjoget saja",NON_BUZZER
lindungi para pendemo ya allah,NON_BUZZER
"ini bukan demo lagi,,sudah ke arah perang sama aparat negara sendiri",NON_BUZZER
mau terima kasih sama yang sudah turun demo hari ini kalian keren semua,NON_BUZZER
"semangat kawan""semua terima kasih sudah mewakili rakyat",NON_BUZZER
"tanda"" awal akan terjadi krisis,kalo prabowo enggak segera bertindak membenahi ekonomi pasti semua daerah orang akan gampang untuk demo dan bersuara",NON_BUZZER
"kalian sadar tidak? kode keras dari pak prabowo. 1 pak prabowo tidak melarang kalo kita mengibarkan bendera one piece 2 sengaja bikin berita gaji dpr naik untuk memancing amarah kita buat demo tapi kita belum bergerak sampai sekarang 3 dan menurutku itu sudah taktik yang pintar dari pak prabowo sebab dia paham tidak tidak berhak membubarkan dpr dan itu bukan ranah dia, yang berhak itu kita sebagai rakyat sebab sesuai dengan kepanjangannya dewan perwakilan rakyat jadi yang berhak melengserkan itu rakyat. gas kita bubarkan, prabowo belajar dari kisah pak gus dur yang ingin hapus dpr namun dia yang di lengserkan. (kalo mau ada perubahan kita harus peka)",NON_BUZZER
"guys :demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?",NON_BUZZER
di bwa terowongan ada yang kena molotov bagaimana ceritanya woy,NON_BUZZER
di bawah perang diatas senang senang kenapakah dengan negara ini,NON_BUZZER
tag akun gerindra,NON_BUZZER
gerindra menghilang dari line,NON_BUZZER
enggak ada siaran langsung biasanya kalau ada demo,NON_BUZZER
nepal keren,NON_BUZZER
ya allah,NON_BUZZER
kami ikut mendoakan semoga para adik2 pendemo diberikan keselamatan,NON_BUZZER
"sediiiih lihatnya…. ekonomi ajur,,,,",NON_BUZZER
ya allah lindungilah anak-anak kami,NON_BUZZER
dpr diam saja ini sudah ricuh begini,NON_BUZZER
maju terus kawan,NON_BUZZER
harusnya di persilahkan masuk untuk menyampaikan aspirasinya duduk sama sama jangan di cegah,NON_BUZZER
memang harus berjuang untuk masa depan anak bangsa kita buk iklaskan apa yang terjadi ......mari kita yang tua-tua turut mendo'akan saja,NON_BUZZER
rakyat bersatu dan rakyat melawan,NON_BUZZER
"semoga sukses dan selamat kawan , semoga segera ada perubahan yang lebih baik",NON_BUZZER
video lama,NON_BUZZER
"semoga yang demo selalu di berikan keselamatan semuah nya pembela rayat seindonesia semangat dan hati"" abang"" semuah",NON_BUZZER
srmoga rakyat bisa bersatu demi tegaknya keadilsn sosial bagi seluruh rakyat indonesia.,NON_BUZZER
tangkap ketua dpr nya,NON_BUZZER
hati-hati saudaraku ..,NON_BUZZER
lucunya negeri ini sudah sekacau ini pun masih saja dpr dipertahan kan.,NON_BUZZER
ini vidio kapan sih tolong di info ...terima kasih,NON_BUZZER
sdhlah polisi jangan halangi mahasiswa,NON_BUZZER
nurunin gibran ya ikutan lha,NON_BUZZER
tv nasional tidak menyiarkan demo di dpr ..besok jangan pilih partai yang punya tv nasional,NON_BUZZER
walaupun kita enggak jadi pejuang di jaman penjajah sekarang lah saatnya menjadi pejuang generasi muda,NON_BUZZER
polisi bantu penjabat rakyatnya di muauhi padahal yang bayar mereka rakyat .. ya allah,NON_BUZZER
"mohon maaf sebelumnya ......apa ini asli?......saya baru pertama kali mendonlod tiktok,,,,,,,,masyaallah ini anak sangat ajaib,,,,,kebesaran allah",NON_BUZZER
"pas ada demo harusnya polisi nanggap dangdut, pasti pendemo lupa, dan pada joget disitu",NON_BUZZER
"gue lagi kuliah di luar kota. adek gue lagi ikut demo juga di benhil bantu doa nya teman""",NON_BUZZER
mari masyarakat indonesian turun kejalan untuk membantuk adik2 kita mahasiswa.untuk para lembaga2 masyarakat sudah cukup kita diam saja kesengsaraan rakyat ini,NON_BUZZER
semoga allah swt senantiasa menjaga para peserta demo dan seluruh warga yang berkegiatan di sekitar lokasi aksi agar terhindar dari segala mara bahaya,NON_BUZZER
kasihan warga sipil. selalu di benturkan dengan aparat. sementara yang di demo enggak mengasih respon apa bagaimana.,NON_BUZZER
"ya allah , selamat kan lah dan lindungi lah para pendemo ini , dari marabahaya , jaga lah mereka dengan baik , jangan sampai terjadi apa"" para pendemo ini , kasihan jangan sampai ada yang terluka",NON_BUZZER
"#stoppbayarpajakditahun2025 kenapa??? kalo enggak ada pajak yang masuk otomatis pemasukan negara anjlok walaupun yang tidak bayar hanya yang tidak setuju dengan kenaikan tunjangan dewan persetan rakyat, tapi dengan cara itu pasti akan ada tindakan dari negara karena negara sangat membutuhkan pemasukan untuk membayar hutang dan pembangunan",NON_BUZZER
alhamdulillah ujan.. jadi kereta aman balik enggak harus menunggu kayak tanggal 25,NON_BUZZER
"dapat info malam ini, ada ojol meninggal kelindas mobil polisi, ada 4 korban",NON_BUZZER
fix 70% isiny bocah stm&bocil gengster yang kalo ketangkep plonga plongo enggak tau visi misiny apa,NON_BUZZER
demo sudah separah ini masa presiden enggak turun tangan,NON_BUZZER
kenapa bentrok sama polisi ya apa enggak langsung ke rumah sahroni dan eko dl,NON_BUZZER
"gua lihat demo banyak banget tempatnya kan tujuannya ke gedung dpr kenapq sampai meleber mencar kemana², kena taktik pengalihan itumah, siapa yang ngarahin kalian mencar begitu deh",NON_BUZZER
untuk wartawan pedemo lagi kayak begitu tuh jangan terlalu di zoom muka nya. kasihan mereka lagi berjuang loh untuk negeri ini. kasihan mereka sudah turun kejalan tapi kalian beritakan di tv dengan tampak jelas muka mereka. jangan sampai mereka dicari intel brok huft kasiaan mereka,NON_BUZZER
"terima kasih kalian yang sudah turun demo hari ini kalian semua keren , semoga selamat semua",NON_BUZZER
terima kasih yang ikut demo,NON_BUZZER
sampai kapan presiden dan dpr berdiam diri? apa enggak sedih melihat kondisi seperti ini? banyak yang terluka..,NON_BUZZER
enggak ada yang seberani orang jakarta dibanding daerah lain kalau lihat video ini salut sama orang jakarta,NON_BUZZER
awani australia,NON_BUZZER
"aulia 308:demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?hsgs",NON_BUZZER
"dpr dilindungi polisi, rakyat dilindungi siapa?",NON_BUZZER
"semangat para demo kalianlah betul"" mewakili seluruh rakyat indonesia",NON_BUZZER
"dpr: dewan pemeras rakyat dpr: pembuatan u yang menguntungkan anggota parlemen cepat sekali di ketok palu, tapi buat u yang menyengsarakan rakyat nya juga cepat di ketok palu, pajak naik terus, dpr tempat orang yang berilmu tapi tidak beradab dan biadab",NON_BUZZER
oke gas oke gas,BUZZER
"disini saya bukan belah siapa-siapa, kalo demo sudah anarkis apa aparat hanya diam saja...? coba dijawab",NON_BUZZER
"akhirnya yang kerjaannya tawuran doang gara guna, sekarang ada gunanya juga",NON_BUZZER
gara-gara dpr ini jadi kisru begini,NON_BUZZER
knapa polisi ngadang rakyat? coba di kasih akses jalan dudukin masyarakat sama wakil rakyat serta presiden mendengarkan maunya rakyat seperti apa memang para petinggi-petinggi negara enggak ada yang bisa mikir begini apa?,NON_BUZZER
mantap,NON_BUZZER
tau enggak posisi sih wowo dimana? tadi pagi ada di tangerang hadirin acara apa begitu..pantesan banyak polisi tiap lampu merah/perempatan,NON_BUZZER
yang lempar batu ber3 kompak banget,NON_BUZZER
terus ayo atur jadwal lagi,NON_BUZZER
"polisi kalo pensiun kan kembali ke masyarakat kok,masyarakat malah di jadikan lawan",NON_BUZZER
"terimakasih yang sudah demo, semoga kalian baik-baik saja",NON_BUZZER
polisi main nya begitu lagi ya,NON_BUZZER
yang video pendukung polisi,NON_BUZZER
ww3,NON_BUZZER
huru hara negara kalau camno..,NON_BUZZER
dan presiden tutup mata tutup telinga,NON_BUZZER
hanya bisa mendukung dan mendoakan saja,NON_BUZZER
makin seru nih hasil dari joged2 presiden prabowo,NON_BUZZER
lebih baik melihat negeri ini hancur daripada kita dijajah oleh pemerintah sendiri secara batin dan mental,NON_BUZZER
"sudah kayak begini pemerintah kok masih membisu, apakah pemerintah mengharapkan banyak korban.",NON_BUZZER
semoga allah melindungi mu kawan,NON_BUZZER
ksian banget ojol yang kelindes mobil brimob . md di rs,NON_BUZZER
sementara yang di demo lagi pada nyantai menonton sambil ngitung uang tunjangan,NON_BUZZER
kalian live orang tadi ksian cok di lindas brimod cok kang ojol,NON_BUZZER
rakyat sudah banyak yang emosi tapi pejabat tetap tuli,NON_BUZZER
terima kasih semuanya panjang umur kalian panjang umur perjuangan,NON_BUZZER
"semoga para pendemo selalu dalam lindungan allah dan selalu berada di jalur allah untuk menegakkan kebenaran, keadilan dan kesejahteraan bagi seluruh rakyat indonesia. amin....",NON_BUZZER
semngt mas saya doa kan selamat bagi pendemo...,NON_BUZZER
prabowo: indonesia baik baik saja kok,NON_BUZZER
"terima kasih pahlawanku para pendemo kalian telah berjuang demi rakyat jelata. melawan antek"" kedholiman dinegeri.ini",NON_BUZZER
yang depan admin semua itu,NON_BUZZER
stm garda paling dpan pasti itu,NON_BUZZER
kalian luar biasa,BUZZER
